Nome,GIF
"Primo Blocco","https://lh3.googleusercontent.com/d/1OqySkpUZpy8sIwWrS49wqAODq1KLEVMG"
"Secondo Blocco","https://lh3.googleusercontent.com/d/1HefHXEDql8P4GtBft-p-8VoCOAhLTUhs"
"Terzo Blocco","https://lh3.googleusercontent.com/d/1LI8E-wKOH3XMdZOJto3jT9gYV-Lod9_a"
"BACK SQUAT","https://lh3.googleusercontent.com/d/1dM9fW8R09ko8sKaMI2SBp-oxa7rFgm45"
"CLOSE GRIP BENCH PRESS","https://lh3.googleusercontent.com/d/https://drive.google.com/file/d/1PGicgxdSCml28x1vJr6vFd3eNGv2rjSM/view?usp=drive_link"
"POWER CLEAN","https://lh3.googleusercontent.com/d/1B6l345_vX2KQyS9-i-7kAolJGVraq_Qf"
"STRICT PRESS","https://lh3.googleusercontent.com/d/1a6HHsgpzf85LmN0WO303krIyvqccH3P-"
"DEADLIFT","https://lh3.googleusercontent.com/d/1LFKi_MzvdOBafqnJCrA3aDPp5tXPYRgr"
"SUMO DEADLIFT","https://lh3.googleusercontent.com/d/1EkdhNNiPFPaSd-ucQRmrvBJ9RfXZnikG"
"DEADLIFT GAMBE TESE","https://lh3.googleusercontent.com/d/https://drive.google.com/file/d/1rPHZDmEqgIP7DVLlX9IpBOqVPnTJ9Wdl/view?usp=drive_link"
"FRONT SQUAT","https://lh3.googleusercontent.com/d/https://drive.google.com/file/d/1862J5k0JqE3nEUs4chXWwRQZyqe9KBx4/view?usp=drive_link"
"HANG POWER CLEAN","https://lh3.googleusercontent.com/d/1d2da-PEqmyAystR5p1-Gcgx9QNK9qYZ5"
"PUSH PRESS","https://lh3.googleusercontent.com/d/1Q1X6Rpwfp9ePwsDjdhsmCrSMuDG3BG-2"
"Wall Ball","https://lh3.googleusercontent.com/d/1Dt5QWzaIxWKxJlSTydnPaEt97R4ZlpoT"
"Pull Up","https://lh3.googleusercontent.com/d/15gjed4eOrzZBwftpAbce5o477wrShVPZ"
"Step Up Destra","https://lh3.googleusercontent.com/d/17qW6q2FJYFOXpaneM6YJpLaXdT9wvJnN"
"Step Up Sinistra","https://lh3.googleusercontent.com/d/1NYP46mLG8Xs8nholXjLhMS70HUpsK87C"
"Banded Abductor Destra","https://lh3.googleusercontent.com/d/1aHZLSmfecd3zA24ZaT9rFNhDgNx1DgGB"
"Banded Abductor Sinistra","https://lh3.googleusercontent.com/d/1fI_lTfLr9Z98NZrTg98o1dnfBS5QWiCK"
"BB Zarker Deadlift","https://lh3.googleusercontent.com/d/1sfok0VYbPs7AiDHpMth6qTwL5dCKgNPG"
"BB Hip Thrust","https://lh3.googleusercontent.com/d/1BcFNnzAeCA4r2zOUspXdT-eqAGlhMevb"
"Airplane Hip Open Destra","https://lh3.googleusercontent.com/d/127ZZ6gWoM0qdJXqfhNx3NuJQAfJhRyt3"
"Airplane Hip Open Sinistra","https://lh3.googleusercontent.com/d/1UWy9Akv24dbF8eydySkb4iT1DY9G0A2B"
"Airplane Hip Close Destra","https://lh3.googleusercontent.com/d/17Tp31Pa_tJFFOYAtxHN-bDPN9GMzAV4C"
"Airplane Hip Close Sinistra","https://lh3.googleusercontent.com/d/1UxvyOyBKB_zzCxKdCSr-wfRvFVhUHDKN"
"Foam Hip Shift Destra","https://lh3.googleusercontent.com/d/1YOlTHkNI4lEbqtiJFFrOADpYM1BZhZ3T"
"Foam Hip Shift Sinistra","https://lh3.googleusercontent.com/d/1aowAMsge_i1VeNMfd9XXKtlTvAdmWGMM"
"Frog Pump","https://lh3.googleusercontent.com/d/1INM4Kty0DoUxG-6O2x4weoHRNpeDMp-m"
"Weighted Frog Pump","https://lh3.googleusercontent.com/d/1pI-i2bDJsuKWFDZTVO10cpATJKgioKsm"
"Milko Bench Press Destra","https://lh3.googleusercontent.com/d/1HKM_9Iuv3Imd2HvlDQKn3X5U0ka0ZhAq"
"Milko Bench Press Sinistra","https://lh3.googleusercontent.com/d/1uEOx64RTtlLYbCum43wZCgLkMLHRp1_F"
"Spanish Squat","https://lh3.googleusercontent.com/d/1YNANOSarJal12Ez6KwaqntE7KciqtGJB"
"Kettebell Shift Destra","https://lh3.googleusercontent.com/d/10IFtLVmsHNo9SGYVgDIEVKRzT54EOofR"
"Kettebell Shift Sinistra","https://lh3.googleusercontent.com/d/1X4bywcpEMBnIN82wmbXz-FC1Q3p-zM4X"
"Kettlebell Sumo Deadlift","https://lh3.googleusercontent.com/d/16yPq_OxOE5tvODttpHpwe0B1Bv0wPGj3"
"Cat Cow","https://lh3.googleusercontent.com/d/1KIjJUlPOpNygTGp-6SnvsOaDebcPTO-R"
"Bootstrap","https://lh3.googleusercontent.com/d/1j3Z6mLqaWcASRUDJSCRmXYtD8eH7iRqz"
"Pogo Hops","https://lh3.googleusercontent.com/d/1gq6xpjZK6XsfFmO5_AlHz-HLk3KQo3PB"
"Jumping Jacks","https://lh3.googleusercontent.com/d/1OpfwD2KStcXGSL1yho7gdsAGQQDgBmfQ"
"Updog To Downdog","https://lh3.googleusercontent.com/d/1cuntn0OBWz9iwxgvl7f68PTzsxL01UoC"
"Hip Switch","https://lh3.googleusercontent.com/d/1_j_R7jBB90jQruDFY7BAVPT6cmuAYo_h"
"Active Spider","https://lh3.googleusercontent.com/d/1LcDBOoL7G8hRiscrdkY48e3OLtxsDFRG"
"Active Samson Destra","https://lh3.googleusercontent.com/d/16tDNbRbwqCypE44jhLR8lOCcJd5pjf8V"
"Active Samson Sinistra","https://lh3.googleusercontent.com/d/11bLSx4gkHVhR1paIbjHHJQiCaZxOCy6K"
"World Greatest Destra","https://lh3.googleusercontent.com/d/1rHz6M9TxPOzZB9OiSaPA9YfCrhtSYpj3"
"World Greatest Sinistra","https://lh3.googleusercontent.com/d/1UYVp72OX4XD6-ZVuvtEldpkKMH1NXUNr"
"Down Up","https://lh3.googleusercontent.com/d/1x98rPa5eEsM52BHYM5-fHdVCg0snBRlf"
"Down Dog With Pedal","https://lh3.googleusercontent.com/d/1pm_dcI73ibdJZkJiEeWX3XaXT2D4pPS-"
"Knuckle Dragger","https://lh3.googleusercontent.com/d/12H8OitXaY68GWoGpEmjvOeHOA8AQAGEf"
"Quad Pull Through","https://lh3.googleusercontent.com/d/1aUhEgmpE7wzcHxMIO3ApA5F59x5pyJ0k"
"Quad Push Through","https://lh3.googleusercontent.com/d/1Wce-SoBjOlOaOqDTz0qiX4gD2YQoZ6TV"
"Press Destra","https://lh3.googleusercontent.com/d/1GncvXrz10ojsmU_v1wPWFw8aMODa_Vno"
